Date,Virginia,California,Florida,New York,New Jersey,Texas,Michigan,Massachusetts,Arizona,Washington,Colorado,Illinois,the District of Columbia,Nevada,Hawaii,New Hampshire,Utah,Georgia,Montana,Minnesota,Louisiana,Maryland,Pennsylvania,South Carolina,North Carolina,Vermont,Tennessee,Oregon,New Mexico,Rhode Island,Alaska,Maine,Alabama,Wisconsin,Arkansas,Mississippi,Indiana,West Virginia,Idaho,North Dakota,Connecticut,Kentucky,Missouri,Kansas,Delaware,Wyoming,Oklahoma,South Dakota,Nebraska,Iowa,Ohio
11/1/2001,142918.9142,243581.0469,123470.0101,175796.0352,201421.2081,114785.1425,130081.507,249402.3614,148646.028,194300.2118,215217.9169,145380.4246,195676.3633,169877.4428,220545.6602,167442.9227,180468.4974,139687.3734,,156250.3574,113068.886,169628.3725,107612.4903,122022.9311,137967.99,128689.1705,116855.9637,163729.9592,,159810.822,162501.6051,126985.5242,106464.0298,130963.6977,93094.29715,93833.85332,103243.9892,79531.14912,130501.3412,,188910.6798,91861.7425,108659.2078,98033.04928,164778.1979,,88681.04214,109371.7463,109113.1843,98478.74475,113900.0329
12/1/2001,143948.1221,245441.1633,124512.6213,177257.2283,203281.7775,114876.1524,130643.5536,252390.5569,149287.5778,195179.1382,216060.8369,146199.7166,197917.4827,170833.9683,221659.8477,169192.4555,180556.6662,140267.9965,,157730.2443,113444.0121,170855.1485,108093.8189,122351.0816,138233.9997,129698.1285,117085.052,164268.1733,,161820.5813,163542.2943,128109.8225,106709.6739,131595.6919,93171.66463,94105.71726,103573.6063,79641.94289,130775.6962,,190425.6044,92107.76665,109348.7618,98449.98335,165683.5597,,88909.34038,109537.2488,109355.8683,98907.93661,114231.154
1/1/2002,144913.8668,246944.0643,125453.9831,178699.8882,205022.829,114907.2056,131224.1673,254820.4978,149824.0726,195921.8506,216539.157,146765.288,200065.2575,171697.6369,222451.9133,170939.1017,180578.4549,140762.1393,,158959.062,113729.7461,172088.7891,108572.7282,122600.9451,138456.8794,130750.6837,117249.6746,164783.9181,,163461.4891,164305.0291,129391.5824,106854.7847,132193.2565,93261.42827,94240.38368,103621.6452,79732.33281,130951.5149,,191622.2473,92312.0576,109977.6233,98844.83402,166607.6988,,89126.92298,109667.6099,109655.6301,99189.9981,114511.3641
2/1/2002,145871.2876,248480.592,126324.7546,180009.6144,206815.7322,114993.2915,131721.675,256901.9836,150309.8662,196645.1905,216968.1488,147426.7521,202219.3365,172458.2162,223482.5623,172615.5691,180496.6283,141238.1013,,159984.6704,114049.6606,173279.6871,109047.0387,122751.4171,138645.4196,131792.5208,117427.8018,165286.912,,165155.671,164915.4914,130685.1476,107011.5066,132746.6152,93404.61835,94285.91095,103608.3456,79936.81964,131208.376,,192714.8919,92515.09436,110575.9816,99174.52012,167536.4847,,89395.23597,110134.4111,109943.3895,99375.70762,114741.3496
3/1/2002,146875.5766,250279.0589,127176.1112,181120.3864,208647.5669,115209.0106,132159.3317,259022.296,150837.4671,197280.7591,217581.9485,148230.411,204219.8814,173295.1248,224663.7404,174103.8897,180547.8569,141670.6785,,160930.4189,114421.6646,174475.3607,109541.5779,122882.1576,138824.816,132867.1027,117612.2869,165779.0835,,166812.8995,165424.1151,132052.8155,107143.5043,133251.2376,93585.68139,94325.49578,103437.5277,80226.63749,131405.4825,,193975.5976,92705.65068,111091.6431,99470.16667,168527.6417,,89648.97406,110505.2349,110301.2336,99469.99891,114962.3507
4/1/2002,148010.5029,252705.8225,128134.0447,182215.3522,210493.481,115588.3631,132480.0389,261279.1716,151423.5084,197862.3383,218378.6743,148980.7634,206542.4579,174249.0525,226178.0441,175683.3739,180676.8828,142132.4617,,161831.348,114859.8604,175818.2417,110085.7856,123003.8214,138942.834,133902.1979,117779.1722,166288.6156,133412.6209,168715.1956,166258.9421,133459.7342,107292.9634,133734.5233,93795.96606,94284.73932,103289.4367,80475.84844,131619.3987,,195463.5273,92901.16414,111583.3842,99745.64507,169566.9022,144860.8851,89917.8786,110760.4018,110593.0055,99723.85644,115185.7618
5/1/2002,149179.2979,255539.3524,129185.0872,183382.5934,212408.2715,116035.2849,132807.5002,263715.8699,152018.3026,198371.8581,219278.9595,149776.4662,209156.9074,175324.896,227516.2252,177197.8202,180789.4916,142603.529,,162998.94,115665.3874,177498.8148,110680.4272,123218.5869,139126.0337,134872.5061,117965.4271,166934.2177,133639.2017,170930.1122,167008.3524,134799.7389,107483.2263,134244.54,94068.14387,94391.10047,103324.9897,80688.17572,131856.9425,,197222.7096,93082.21778,112097.5115,99758.05485,170595.4577,143573.2707,90154.01332,110864.2016,110998.6245,100106.4988,115450.3503
6/1/2002,150470.2785,258683.1687,130284.0069,184737.9417,214558.1573,116536.0001,133169.8195,266248.9845,152687.1514,198827.8423,220041.4396,150561.2646,212061.8704,176232.115,228991.0856,178891.5763,180889.3109,143086.026,,164196.5392,116428.4093,179425.1618,111335.1414,123448.3536,139318.1942,135820.6572,118178.7263,167705.5354,133739.5666,173386.0724,167612.8162,136195.2665,107719.9902,134798.7557,94393.18837,94572.06144,103588.5529,80891.99806,132207.8623,,199229.5453,93283.69128,112690.3065,99688.6054,171690.9122,142986.5449,90395.35721,111217.5144,111320.4935,100605.3612,115746.5696
7/1/2002,151840.352,262320.2106,131402.8106,186193.8246,216972.3973,117044.9717,133521.5691,269114.115,153410.8698,199406.5429,220781.8241,151504.882,214902.5389,177061.0626,230791.7521,180599.7629,180986.4179,143541.3099,,165500.9876,117232.6716,181565.9976,112067.8743,123776.2177,139580.4882,136675.6257,118428.6055,168549.5728,134084.375,176135.4387,168156.2935,137600.3841,107995.1984,135380.3411,94770.39511,94887.6371,103947.3869,81143.80277,132563.1261,,201366.7079,93534.28278,113333.8068,99590.39962,172814.7805,142090.3939,90653.29787,111641.5383,111674.786,101052.0395,116092.5226
8/1/2002,153301.6508,266235.3804,132598.4835,187819.4879,219919.4879,117582.8297,133918.0706,272154.8318,154234.2535,200101.6235,221305.4233,152705.6175,217589.0077,177832.1294,233116.9437,182573.3088,181014.5637,143979.4645,,166683.6539,117383.3725,183761.3624,112894.8615,124093.0011,139840.8408,137465.793,118657.6671,169251.2688,134460.3221,179382.3059,168720.33,138926.5073,108242.6124,136031.4989,95100.32414,95173.15421,104134.7602,81436.77069,132892.5788,,203451.4896,93809.90987,113926.411,99569.99748,174029.6411,142171.8077,90926.98694,112033.0743,111979.189,101443.8635,116453.4174
